Название продукта,Описание
Frontend-разработчик,"Привет! Мы –   Beget.   Почти 15 лет мы предоставляем услуги хостинга и входим в ТОП-3 крупнейших хостинг-провайдеров России и СНГ: занимаем первое место как хостинг-провайдер среди сайтов в зоне .RU, а также входим в тройку крупнейших регистраторов доменов в зонах .RU и .РФ.   Мы делаем действительно хороший продукт, который востребован на рынке. В основе нашего продукта – современный стек технологий, сложный, а потому интересный код, и главное – работа в профессиональной команде. И в связи с ее расширением мы находимся в поиске  Frontend   разработчика  в Beget Облако.   Если ты любишь работать со сложной бизнес-логикой, ценишь хорошо организованный процесс разработки и готов развиваться вместе с нами – эта вакансия может тебя заинтересовать.   Чем предстоит заниматься:       вместе с коллегами находить наиболее подходящие пути реализации фичей и декомпозировать их;       разрабатывать новые и улучшать текущие сервисы облака в панели управления (сейчас мы работаем над такими фичами, как S3 совместимое хранилище) и улучшать сайт (планируем переход с Nuxt 2 на Nuxt 3, переход с Bootstrap на TailwindCSS, переход с собственных компонентов на Vuetify);       улучшать frontend-архитектуру текущих сервисов облака.       Наши ожидания:       уверенное владение ES6 и Typescript;       уверенные знания современных подходов к верстке;       опыт коммерческой разработки на  Vue.js  от 2-х лет;       умение задавать вопросы и предлагать аргументированные решения;       желание учиться и развиваться.       Будет круто, если также ты обладаешь:       опытом работы с облачными провайдерами в качестве разработчика или пользователя.    "
DevOps-инженер,"Работа в команде с профессионалами своего дела, которые в курсе современных практик и технологий.   Ключевые задачи:     Создание, поддержка и развитие механизмов автоматизированной поставки (CI/CD)   Сборка, отладка, автоматизация и установка релизов на контурах систем Банка   Установка и настройка прикладной части на новых серверах систем Банка   Установка и настройка компонентов внедряемой информационной системы в рамках проектов Банка   Взаимодействие с командами разработки и тестирования в рамках процессов установки релизов и проектов Банка   Участие в процессе разработки документации для систем Банка     Что важно для нас:     Уверенные знания в администрировании Linux Servers   Опыт работы с СУБД PostgeSQL     Опыт работы со стеком ELK     Уверенные знания в администрировании Nginx   Большой опыт работы, понимание порядка использования систем контроля версий исходного кода GitLab   Опыт написания скриптов на bash, python, yaml   Опыт в построении пайплайнов с использованием инструментов Gitlab CI, Ansible, Nexus     Что предлагаем:     График работы: 9.00-18.00, сокращенный рабочий день по пятницам до 16.45   Гибридный формат работы   Конкурентный уровень дохода: оклад + премии   Медицинская страховка, страховка для выезжающих за границу   Официальное оформление в соответствии с ТК РФ   Доплата к отпускному и больничному листу   Дополнительные льготы при заключении брака и рождении детей   Социальная поддержка при сложных жизненных ситуациях   Льготное кредитование для сотрудников   Обучение в корпоративном университете банка   Корпоративная пенсионная программа   Корпоративная библиотека   Реферальная программа для сотрудников: приведи друга в ИТ и получи до 300 000 рублей      "
DevOps-инженер,"Вам предстоит:     начальная настройка, поддержка и развитие инфраструктурных сервисов, а также разработка новых с использованием систем автоматизации;   работа с контейнеризацией (Docker, Kubernetes), системами виртуализации (Prox\Esxi), в том числе кластерных систем;   отработка гипотез и сбор тестовых стендов, ведение проектов от тестирования до ввода в эксплуатацию;   по запросу написание манифестов приложений для k8s и docker-compose, запуск приложений в docker, взаимодействие с разработчиками, выработка рекомендаций по работе сервисов;   мониторинг инфраструктуры разработчиков, решение инцидентов в случае их появления, добавление новых targets для сбора метрик, разработка правил alerting, создание dashboard в prometheus/grafana.     Мы ожидаем от вас:     углублённые знания linux;   Docker, KVM, Proxmox;   Terraform и Ansible, CI/CD;   Zabbix/Grafan, Prometheus, ELK;   MySQL, PostgreSQL;   Bash, Python, Perl.     Приветствуется :     опыт работы с VMWare, Docker,   Kubernetes;   опыт работы с облачными провайдерами, в том числе с Сбер Cloud, Yandex Cloud, VkCloud;   хорошие ĸоммуниĸативные навыки, умение работать в команде.     Мы предлагаем вам:     официальное трудоустройство согласно ТК РФ : мы ответственная белая компания - выполняем все договорённости и соблюдаем законы;   офис в шаговой доступности от м.Лесная;   график работы:  5/2, (по истечении испытательного срока (3 месяца) - гибридный формат работы);   компенсацию мобильной связи;   компенсацию обедов;   индивидуальный план адаптации  с поддержкой наставника, руководителя и HR;   ДМС  с телемедициной, широким выбором клиник, полисом путешественника и психологической поддержкой;   внутреннее  и внешнее обучение за счет компании;   поощрение смелых идей и нестандартных решений;   завтраки и перекусы на корпоративной кухне;     социальную поддержку в важные моменты жизни;     корпоративные мероприятия.  "
DevOps-инженер,"  Сегодня билайн — компания изменений, чутко реагирующая на потребности рынка и людей. Мы гордимся тем, что уже сейчас разрабатываем и реализуем технологии, аналогов которым нет в мире. А ещё билайн — это не просто компания, это — команда, объединённая общими ценностями и общей целью — быть лидером телеком и digital-рынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня. Сейчас у тебя есть возможность присоединиться к лучшей команде в качестве  DevOps - инженера  ИТ-облака.   Продукт:   Облачная IaaS платформа — совокупность программно-аппаратных средств, предназначенных для автоматизированного предоставления ИТ-ресурсов продуктовым командам в режиме самообслуживания;   Основная задача платформы — обеспечить команду типовой облачной ИТ-инфраструктурой;   Состав супер-сервиса ИТ-облака: фронт UI/BW, логика-ядро оркестратор на Go, конвейеры автоматизации,программно-определяемая инфраструктура SDx.   Что есть сейчас:   Команда ИТ-облака состоитиз 60+ человек: backend, frontend,  инженеры  поддержки,  DevOps , TechLead, архитектор, владельцы продуктов;   Команда  DevOps   инженеров  со стороны компании Билайн порядка 30 человек.   Итак, тебе предстоит:   Разрабатывать и развивать облачную платформу на продуктах OpenStack и Ceph;   Обеспечивать бесперебойную работу существующей облачной платформы собственной разработки Vega (подробнее https://devopsconf.io/moscow/2024/abstracts/11633 );   Развивать, масштабировать и управлять облачной платформы.   Мы будем рады рассмотреть твою кандидатуру, если у тебя есть  (любые 4 из 6 п.) :   Опыт работы c OpenStack (nova/qemu/libvirt, cinder, neutron, glance) — не менее 2-х лет   Знание Python (Go), Ansible, Git;   Практический опыт работы с MariaDB, PostgreSQL, RabbitMQ, RESTAPI;   Опыт работы с контейнерами Docker, оркестрацией K8s;   Понимание и опыт настройки работы SDS Ceph   Базовые инфраструктурные знания — модель OSI, сети (VXLAN/BGP/FRR/DPDK) виртуализации, СХД (iSCSI)   Наши преимущества:   Оформление в аккредитованную IT-компанию;   Гибридный формат работы*;   Гибкий график работы;   Удобные инструменты — необходимое ПО и мощный ноутбук;   Сложные и интересные задачи, которые позволят раскрыть потенциал;   Невероятно сильная и амбициозная команда профессионалов;   Потрясающий инновационный продукт с долей проникновения внутри компании 30% за 1ый год работы!   Полис ДМС с хорошими клиниками;   Cлужебная сотовая связь.       *Посещение офиса может быть исключено по договоренности с руководителем.      "
DevOps-инженер,"Привет)   Мы компания ПИК - крупнейший застройщик в России. Мы занимаемся автоматизацией всех функций компании и делаем строительную отрасль технологичной: разрабатываем системы, хранилища данных, мобильные приложения, сайты, боты. Всё это для того, чтобы создавать лучшие дома.   Сейчас мы ищем  DevOps   инженера  в команду аналитики и отчётности.       Для наших сотрудников:     Работа в крупной стабильной компании с инновационными проектами;   Официальное трудоустройство по ТК РФ;   Конкурентная заработная плата;   Удаленный формат работы   Возможность для быстрого роста и развития вместе с командой;   Собственный портал обучения и электронная библиотека;   Команда профессионалов, которая всегда придет на помощь.     Чем предстоит заниматься:     Администрирование и оптимизация инфраструктуры серверов, вкл. BI-системы (например, Fine BI) на Linux и Windows;   Управление базами данных для обеспечения их производительности и доступности;   Разработка и поддержка систем мониторинга и логирования событий для всей инфраструктуры (сервера, базы данных, приложения);   Обеспечение безопасности систем, включая резервное копирование данных;   Помощь разработчикам в настройке тестовых и разработческих сред, включая поддержку контейнеров и виртуализацию;   Участие в проработке архитектурных решений, в том числе для интеграции и оптимального использования ML-моделей и алгоритмов;   Диагностика и устранение инцидентов в работе всех систем, включая системы аналитики и мониторинга технических показателей.     Для нас важно:     Опыт работы в направлении DevOps не менее 3 лет, предпочтительно в проектах связанных с анализом данных;   Опыт администрирования баз данных (MySQL, PostgreSQL и др.);   Опыт программирования на Python и SQL не менее 3 лет;   Уверенные навыки администрирования операционных систем Linux и Windows;   Знание методологий Continuous Integration и Continuous Delivery (CI/CD);   Навыки работы с системами мониторинга (например, Zabbix), контроля версий (Git);   Опыт работы с ETL-инструментами (Airflow, Bash, Cron), публикации приложений в Docker и Kubernetes.         Чтобы встретиться с нами:     Нажмите ""Откликнуться"";   Мы позвоним в ближайшее время.     Ждем вас в нашей команде!"
DevOps-инженер,"В Центр развития Департамента информационных технологий Банка России ищем коллегу – профессионала и единомышленника.   Наш ДИТ формирует ИТ-политику Банка России, систематизирует все изменения и инициативы в этом направлении, а наш Центр развития инициирует и реализует проекты по автоматизации процессов и задач. Вакансия открыта в Управлении прикладных платформ. Направления: интеграция, внешние ресурсы и обмен, интранет-портал, роботы, среды исполнения.   Команда занимается развитием основных систем Центрального Банка России, которых более 60, часть из которых является высоконагруженными, с количеством пользователей до 40 тыс. человек.   Задачи:     разработка архитектурных решений для развертывания приложений на основе Kubernetes / Openshift;   проектирование CI/CD решений и инструментов для поддержки жизненного цикла разработки сервисов и приложений;   техническое лидерство в группе  devops   инженеров , формирование и оценка бэклога, планирование итераций;   организация и улучшение процессов в рамках команды и взаимодействия с другими инженерными группами;   развитие культуры DevSecOps, практик проактивного мониторинга и incident management.     Наши ожидания от кандидатов:     высшее образование (техническое);   опыт администрирования Linux систем;   опыт в роли  DevOps   инженера  в проектировании и эксплуатации платформ на основе Kubernetes / Openshift в течение 2-3 лет;   опыт эксплуатации, мониторинга и решения проблем с производительностью Active MQ/ Kafka / Rabbit MQ (или аналогичных решений);   опыт администрирования PostgreSQL / Oracle;   опыт эксплуатации, мониторинга и администрирования высоконагруженных и отказоустойчивых приложений;   опыт подготовки CI/CD на основе Kubernetes (Deckhouse) / Jenkins,Gitlab / S3 (minio, программно-аппаратные комплексы);   опыт работы со средствами конфигурации (Ansible, Terraform и другие);   отличное понимание основ виртуализации серверов и контейнеризации приложений;   хороший уровень владения Python или Groovy (можно Bash) для автоматизации рутинных задач;     Мы предлагаем:       получение действительно уникального опыта в мегарегуляторе, участие в проектах, которые напрямую или косвенно затрагивают весь финансовый рынок России;       возможности для профессионального развития и развитую ИТ культуру: наставничество, обучение в Университете Банка России, профессиональные клубы, конференции, сильная команда руководителей и коллег;       использование как стандартных средств коллективной работы (Jira, Confluence), так и собственных средств (свой портал видео-конференц связи, собственная среда тестирования и разработки и т.п.);       работу в сбалансированных и полнофункциональных проектных командах;       стабильность при постоянном развитии;       широкий социальный пакет (дополнительные дни к отпуску, возможности для отдыха по льготным ценам, свой многопрофильный медицинский центр, корпоративные скидки на спорт и активная спортивная жизнь внутри Банка России, пенсионная программа и многое другое);       гибридный график работы в офисе, м. Багратионовская/Фили (шаговая доступность).    "
Backend-разработчик,"Мы - инновационный стартап, нацеленный на создание революционной платформы в области социальных сетей для продвижения и развития талантов определенной группы людей. Наша миссия - предоставить уникальные возможности для самовыражения и взаимодействия. Наша команда - это объединение опыта, мотивации и творчества, и мы ищем единомышленника, готового внести свой вклад в наш проект и разделить с нами стремление к инновациям.   Что вас ждет:       Возможность стать ключевым игроком в динамично развивающемся проекте, работая над разработкой и оптимизацией бэкенд-части нашей масштабной платформы.       Создание нового функционала, рефакторинг существующего кода, разработка архитектуры и взаимодействие с базами данных.       Взаимодействие с фронтенд-разработчиками и DevOps, участие в code review, поддержание актуальности документации и разработка тестов.       Мы ожидаем от тебя:       Более 3-х лет опыта работы с Python и уверенное владение Django.       Глубокие знания RESTful API, опыт работы с PostgreSQL, Linux, Nginx, и Git.       Опыт работы с AWS (EC2, S3 и др.), а также с системами автоматизации и инструментами вроде Jira и Stripe.       Высокую обучаемость, стремление к саморазвитию и командную работу.       Хороший уровень английского языка (технический и разговорный). Если ты еще не владеешь разговорным английским - мы готовы помочь в обучении.       Личные качества, которые мы ценим:       Командный дух и готовность делиться знаниями с коллегами.       Пунктуальность и ответственное отношение к работе.       Стрессоустойчивость и готовность к решению сложных задач.       Творческий подход и стремление к инновациям.       Технологический стек:       Языки программирования: Python, JavaScript (React для фронтенда).       Фреймворки: Django, Django REST Framework.       Базы данных: PostgreSQL.       Облачные сервисы: AWS (EC2, S3 и др.).       Инструменты и технологии: Linux, Nginx, Git, Unit Testing, RESTful API, Stripe, Jira.       Мы предлагаем не просто работу, а возможность стать частью чего-то великого, развиваться вместе с проектом и вносить значимый вклад в индустрию. Если ты готов к вызовам и желаешь реализовать себя в уникальном проекте, присоединяйся к нашей команде!"
Backend-разработчик,"Команда Production IT растет и развивается.   Мы в поисках новых направлений и никогда не стоим на месте, поэтому нам в команду необходим вдумчивый и ответственный профессионал.   В данный момент мы ищем Middle / Middle+ Backend Python разработчика.   Обязанности:     backend разработка на python django   работа в команде над несколькими проектами   выполнение поставленных задач вовремя     Требования:     уверенное знание python django от 4-х лет, работа с gitlab, jira, postgresql   понимание REST, websocket, паттернов проектирования, чтение стандартных схем и диаграмм (например er-модель)   плюсом будет опыт работы с ruby on rails, vue js, react     Условия:     рост ЗП, в зависимости от результатов   через полгода возможность взять оплачиваемый отпуск   работа как самозанятому или через ИП по договору   стандартный график по будням, не считая праздники  "
Backend-разработчик,"Обязанности:     Разработка нового функционала для бэкэнда системы;   Поддержка текущей кодовой базы;    Кросс-ревью других  бэкенд   разработчиков ;    Тесное общение с аналитиками, которые определяют бизнес требования к задачам.     Требования:      Опыт работы  бэкенд   разработчиком  от года;    Знание  Python , Django, DRF, опыт использования mypy;   Умение использовать Docker и PostgreSQL;    Ответственное отношение к данным в БД (в том числе, при написании миграций).     Условия:     Удаленно;   Удобный график 5/2.  "
Backend-разработчик,"ВАКАНСИЯ С ПЕРЕЕЗДОМ В РЕСПУБЛИКУ ТАТАРСТАН Обязанности:     Разработка нового функционала;   Разработка проектов с нуля;   Проведение Code Review;   Подбор технологий для новых проектов;   Улучшение существующей кодовой базы;   Проработка архитектуры.     Требования:     Опыт от 4-х лет коммерческой разработки;   Уверенные знания  Python ;   Работал с  Python  ровно столько, чтобы понимать его особенности и уметь ими пользоваться;   Опыт разработки асинхронных приложений;   Знаешь WebSocket и REST;   Опыт работы с Git. Уверенно себя чувствуешь как при работе в терминале, так и из IDE;   Опыт в написании юнит-тестов;   Опыт работы с Django/Sanic/Tornado/FastApi;   Опыт работы с реляционными базами данных (PostgreSQL, MySQL);   Опыт работы с Pydantic;   Опыт работы с Docker;   Опыт работы с Redis.     Условия:     Дневная рабочая неделя 5/2, с 8:00 до 17:00 (ненормированная);   Формат работы - офис;   Работа в крупной и стабильной компании – в структуре самой большой ОЭЗ в Европе;   Транспорт до работы из г. Елабуга, г. Набережные Челны, г. Менделеевск;   Оплачиваемые отпуска и больничные;   Гарантия профессионального роста, бесплатное обучение;   Молодую, амбициозную, проектно-ориентированную команду;   Командные игры, мозговые штурмы, реализация нестандартных задач;   Карьерный рост при наличии и обретения в процессе работы необходимых компетенций;   Заработная плата по результатам собеседования.  "
Backend-разработчик,"Привет! Мы —  онлайн-школа Тетрика,  являемся одной из крупнейших EdTech-компаний России в сегменте школьного образования. За 5 лет мы помогли уже тысячам школьников найти  своего репетитора  и   провели более 2 млн занятий  на  собственной платформе.   Мы продолжаем расти, а значит, нам нужны новые таланты. Сейчас мы приглашаем в свою команду  Backend - Developer   Python  (senior),  который будет отвечать за  совершенствование нашего продукта.   Чем предстоит заниматься:     Создавать инструменты, которые усовершенствуют процесс обучения для учеников и репетиторов;   Участвовать в принятии архитектурных решений и развитии системы с точки зрения инфраструктуры;   Осуществлять интеграцию с внешними сервисами (CRM-система, Helpdesk, системы обратной связи с пользователем);   Рефакторинг и улучшение текущей кодовой базы, написание тестов.     Стек:     Python  3.11;   tornado + asyncpg, aiohttp/ fastapi /flask (для микросервисов);   PostgreSQL, Redis;   Docker, k8s.         Что мы ожидаем от кандидата :     Наличие опыта в веб-разработке от 5-х лет;   Уверенное владение  python 3 (async, typing/pydantic);   Знание инструментов работы с кодом: ruff, black, mypy;   Понимание принципов работы HTTP(S)/REST, Websockets;   Отличные знания SQL, опыт оптимизации медленных запросов;   Навыки работы с *-nix системами и основы контейнеризации (Docker);   Способность оценивать и декомпозировать задачи.         Что мы предлагаем:     Работа в офисе/удаленно с гибким началом рабочего дня (с 9:00 до 11:00);   ДМС со стоматологией после 3 месяцев работы;   Льготная ИТ-ипотека и отсрочка (входим в реестр аккредитованных ИТ-компаний);   Оформление в соответствии с ТК РФ;   Возможность обучения сотрудника и его детей со скидкой 50%  на  нашей платформе;   Корпоративные скидки от наших партнёров;   Уютный офис в шаговой доступности от метро Курская  на  территории креативного кластера Artplay.     Процесс найма: Интервью с рекрутером → два технических собеседования   → интервью с руководителем → оффер. Если тебе интересны новые задачи и постоянное развитие, смело отправляй отклик  на  вакансию. Пожалуйста, расскажи немного о себе и укажи зарплатные ожидания. Будем рады знакомству :)"
Backend-разработчик,"Привет, будущий коллега! Мы - РигИнтел, Аккредитованная IT-компания, являемся резидентами «Сколково» и входим в группу компаний «НЕФТЬСЕРВИСХОЛДИНГ» Основной вид деятельности – разработка программных решений, автоматизация и модернизация систем управления электроприводов в области бурения.   Один из продуктов : Продукт IR-Vision - система видеоаналитики для нефтегазовой области. На данный момент мы расширяем команду и ищем python-разработчика для разработки и поддержки основных компонент системы (core system, APIs)       Обратите внимание на наши условия:     Оформление согласно ТК РФ;   График работы- на выбор – офис/гибрид, понедельник- четверг с 8:30 до 17:30, пятница- с 08:30 до 16:30 (гибкий график), выходные дни: суббота, воскресенье. Возможна удаленка;   Новый просторный современный офис, удобная транспортная развязка, бесплатная парковка;   Отсутствие дресс-кода;   Возможность посещения профильных конференций за счет компании после испытательного срока;   Возможность обучения английскому языку за счет компании или частичная компенсация спорта.     Что предстоит делать: - Разработка нового и доработка существующего функционала: - Ядра системы видеоаналитики; - Веб-приложения (API); - Системы сбора и создания данных телеметрии; - Участвовать в проектировании архитектуры и code review, написании технической документации; - Оценивать задачи и планировать спринты;   Наши обязательные требования: - Коммерческий опыт работы на Python в продуктовых командах от 3-х лет; - Понимание механики языка Python3.10+ и сопутствующих инструментов (mypy, poetry, flake8/ruff); - Опыт работы с asyncio и хотя бы с одним фреймворкам (aiohttp/fastapi/etc) - Опыт работы с библиотеками opencv, numpy, sqlalchemy (core) - Опыт работы с реляционными базами (postgres), s3 подобными хранилищами (minio) - Общее понимание принципа работы нейронных сетей (обучать их не потребуется) - Понимание принципов сжатия и передачи потокового видео (H.264, RTSP) - Понимание принципов unit тестирования (mock, stub, spy и т.д)   Будет плюсом: - Навык реализации библиотек - Понимание принципов observability, в частности tracing opentelemetry, нагрузочного тестирования (Locust) - Понимание принципов чистого кода, DDD - Работали с Docker и познали азы DevOps"
iOS-разработчик,"    Мы - компания GRI, и мы ищем в нашу команду талантливых профессионалов, которые готовы стать не только частью нашей крутой команды, но и частью истории IT мира!   Мы разрабатываем и поддерживаем продукт ювелирной сети Sunlight, работая над его функционалом и удобством использования для наших клиентов.   У нас в компании очень важно, чтобы каждый сотрудник чувствовал себя частью команды и мог реализовывать свой потенциал. Мы ценим коллег, которые работают с увлечением и ставят перед собой высокие цели. У нас открытая и дружелюбная атмосфера, и мы всегда готовы поддержать друг друга.   Мы создаём первую в мире E-commerce платформу с функцией видеообращения и Dating-сервисом, где пользователи могут удобно и безопасно знакомиться, общаться и покупать товары. У нас есть все: спецэффекты, маски, наложение музыки, дополненная реальность и еще много других фишек, необходимых для того, чтобы занять свою нишу в мире видеоконтента.       Стек технологий:     Swift   Moya (Alamofire)   MVVM   RxSwift,   iOS SDK,   Storyboard,   AutoLayout,   CoreAnimation,   IB, GIT, UIKit и Foundation         Что ты будешь делать:     Ведем работу над 3 мобильными приложениями.   Приложение для клиентов - №1 мобильное ювелирное приложение в мире (более 8 миллионов установок, рейтинг 4.8). Уже каждый третий розничный покупатель оценил удобство выбора с помощью приложения. Вероятно, это лучшее приложение ювелирного магазина в мире. И ты нам нужен, чтобы идти еще дальше!   Приложение для продавцов – инновационный подход для российского ритейла, когда мобильный телефон продавца становится полнофункциональной мобильной кассой со всеми возможностями и служит, в том числе, помощником при консультировании клиентов! Будущее? У нас реальность, опробованная на 2000 продавцах!   Мы ищем талантливых мобильных разработчиков для развития продуктов по этим направлениям! И важно: мы далеко не стартап, но у нас скорость и дух стартапа в купе с большими рекламными возможностями сильного бренда! Звучит интересно? Тогда убедись, что обладаешь требуемым технологическим стеком и оставляй отклик!         Что мы делаем сейчас:     Делаем свой сервис аналитики на миллионы событий в день. То есть это отдельный SDK для каждой мобильной платформы     И делаем свой тик ток. Возможность пользователям создавать видео-отзывы на товар.           Что мы ожидаем от тебя:     Имеешь опыт написания клиент-серверных приложений   Знаешь архитектуру, основные паттерны и принципы разработки iOS приложений   Знаешь Swift и iOS SDK   Работал с XIB, Storyboard, AutoLayout, CoreAnimation   Работал с системой контроля версий (Git)   Хорошо разбираешься в UIKit и Foundation   Умеешь выполнять задачи в срок         Круто если ты имеешь:     Опыт разработки от 2 лет   Опыт использования MVVM   Опыт использования RxSwift   Опыт работы с push-нотификациями (APNS)         Любим стратегию WIN-WIN и взамен готовы предлагать:     Уровень ЗП, готовы обсуждать по твоим пожеланиям   Работа в современной IT компании   Оформление по ТК РФ   Амбициозные и масштабные задачи   Удаленная работа   Гибкое начало рабочего дня/возможность удалённой работы   Выдаем современное оборудование: Mac или мощные PC на выбор   Возможность реализовать собственные архитектурные решения   В офисе есть Play Station, настольный теннис, кикер, чай, кофе, печеньки. Корпоративный футбол   Скидки на английский, джим итд (skyeng, world class)   Обучения и конференции за счет компании   Реально интересные проекты   Крутая сплоченная команда, с грамотными спецами и крутым современным лидом         Если тебе близка стратегия WIN-WIN и ты готов брать ответственность за сложные задачи — ждем в команде    "
iOS-разработчик,"Кого мы ищем   Разыскиваем талантливых iOS разработчиков, готовых постоянно развиваться и быть на острие технологий. Нам интересно пробовать все новые возможности, которые предоставляет Apple, поэтому от кандидата ожидается любовь к саморазвитию.   Данная позиция предполагает полную занятость. Рассматриваем Middle и Senior кандидатов.   Что будем разрабатывать   4spaces – продуктовая компания, это значит, что мы создаем исключительно свои продукты, которые сами же потом монетизируем.   Мы настроены на долгосрочное сотрудничество и совместное развитие, поэтому в рамках iOS команды у Вас будет возможность поучаствовать в разработке множества приложений совершенно разных направлений. Прямо сейчас, присоединившись к нам, Вы будете участвовать в разработки трех приложений:  * приложение для обработки видео для современных социальных сетей коротких видео. Технологии: AVFoundation, Combine, CoreMedia, Metal, SwiftUI * приложение для создания медиа контента с помощью AI. Технологии: Combine, CoreImage, Vision, SwiftUI * приложение для редактирования фотографий с помощью AI. Технологии: Combine, CoreImage, CoreML, Vision, SwiftUI   Требования   * знание SwiftUI, Combine и async / await * опыт коммерческой разработки под iOS от 3 лет * уверенное знание стандартных фреймворков, iOS SDK и Swift * уверенное понимание многопоточности * умение писать чистый и поддерживаемый код, а также быстро разбираться в чужом коде * опыт работы в команде * самое важное – умение и желание получать новые знания необходимые для работы   Будет плюсом: * опыт работы с AVFoundation, CoreImage, Metal * понимание процессов CI / CD и его настройка * опыт покрытия кода Unit / UI тестами   Удаленка!   Все наши коллеги работают удаленно, и нам все равно из какого места вы будете работать: дом, коворкинг или Starbucks. Работайте, как и где комфортно именно Вам! Чем продуктивнее – тем лучше!   Переходя на удаленку, многие наши сотрудники сэкономили 1-2 часа в день только за счет того, что им не нужно ездить в офис.   Наши коллеги активно пользуются преимуществами такого формата работы, поэтому много путешествуют и живут в других странах месяцами.   Интересно?   Все просто, отправляйте ваше резюме прямо на hh.ru и мы в скором времени с Вами свяжемся.   Весь процесс собеседований занимает не больше 2 часов в общей сложности."
iOS-разработчик,"БКС Финтех – ИТ-компания, входящая в БКС Мир Инвестиций, в которой работают более 1300 профессионалов, реализующих актуальные решения для бизнеса. Компания аккредитована Минцифры России как ИТ-компания.   БКС Мир инвестиций – международная инвестиционно-банковская компания, одна из крупнейших в России. Мы существуем на рынке уже 28 лет и предоставляем клиентам максимально широкий спектр брокерских и инвестиционных услуг.   Мы – новаторы в области цифровых технологий в финансовой сфере. На единой цифровой платформе холдинга собраны все ключевые решения как для профессиональных инвесторов, так и для новичков.   Став частью нашей команды, ты попадешь в современную ИТ-компанию, которая является резидентом Сколково.   Как мы работаем:   Разрабатываем крутое инвестиционное приложение ""Мир Инвестиций"". Активная аудитория более 200к пользователей в месяц. А также, делаем инвестиционные приложения для партнеров, whitelabel проекты, open source решения.     Пишем на swift 5.3 (обновляемся на каждый стабильный релиз);   Используем MVVM, RxSwift, SnapKit, Moya, Realm;   Любим новые технологии: начали использовать SwiftUI в боевом приложении;   Не копим большой техдолг, отказываемся от legacy, внедряем best practices и сами их генерируем;   Выстраиваем и автоматизируем процессы, чтобы облегчить себе жизнь CI/CD, Jira, Miro, Figma;   Умеем смотреть на метрики и понимать, что хотят пользователи (Sentry, Appmetrica, AppDynamics);   Работаем в продуктовых командах, 20+  iOS   разработчиков  на проекте;   Используем Scrum (дейли, ретро, демо).     У нас два этапа отбора: техническое интервью и знакомство с head of mobile.   Чем предстоит заниматься:     Выполнять задачи по разработке ПО на платформе iOS;   Проводить ревью кода;   Обеспечивать доставку программных продуктов в очередные версии мобильного приложения «БКС. Мир инвестиций»;   Проводить рефакторинг существующего функционала, исправлять дефекты в существующем функционале.     Наши ожидания:       Опыт работы с Swift 5.0, RxSwift или аналог, git;       Опыт использования (желательно): SnapKit, Alamofire, Moya, ReactorKit;       Знание SwiftUI, тоже будет плюсом;       Приветствуется опыт работы с CI, знание yaml, stencil, bash, самостоятельность и интерес к новым технологиям;       Умение писать UI, unit тесты.       Мы предлагаем:     Стабильный конкурентный доход;   Гибридный режим работы: возможность работать удаленно (частично или полностью);   Работу в аккредитованной Минцифры России ИТ-компании, резиденте Сколково;   Работу в стабильной и активно развивающейся компании – лидере инвестиционного рынка;   Современный стек технологий, амбициозные проекты, возможность профессионального развития;   ДМС с первого месяца работы;   Оформление согласно ТК РФ;   Корпоративные скидки и предложения для сотрудников.  "
iOS-разработчик,"Мы создаем приложения для мобильных устройств. Над ними работает более 20 команд: core-команды базовых технологий, фича-команды, финансовые команды и другие. Мы пишем приложения с высокой степенью надежности и постоянно улучшаем производительность, чтобы миллионам клиентов было удобно.   Мы ждем тех, кто вместе с нами будет улучшать работу приложений Тинькофф, создавать продукты без сбоев — легкие и удобные, которыми готовы пользоваться сами. Линейка наших продуктов объемная, но культура и процессы общие.   Задачи:       Разрабатывать и поддерживать новый функционал продукта       Вместе с командой развивать архитектуру проекта       Автоматизировать разработку и тестирование       Проводить Code Review       Что мы ждем от кандидата:     Занимались iOS-разработкой больше 3 лет   Знаете Swift и Xсode   Умеете проектировать клиент-серверное взаимодействие   Создавали кастомные UI-компоненты   Знаете ООП и структуры данных   Знаете и понимаете инструменты GCD   Знакомы с MVP и MVVM   Понимаете CI/CD, опыт его настройки будет плюсом   Опыт работы с fastlane тоже добавит вам очков     Мы предлагаем:     Возможность работы в аккредитованной ИТ-компании.   Работу в офисе. График работы — гибридный     Платформу обучения и развития Тинькофф Апгрейд. Курсы, тренинги, вебинары и базы знаний. Поддержка менторов и наставников, помощь в поиске точек роста и карьерном развитии     Заботу о здоровье. Оформим полис ДМС со стоматологией и страховку от несчастных случаев. Предложим льготное страхование вашим близким   Частичную компенсацию затрат на спорт по окончании испытательного срока   Компенсацию питания или транспорта в дни работы из офиса   Достойную зарплату — обсудим ее на собеседовании  "
